#This is the datafile for gnuplot
#Iteration 	 Number 	 Execution time (ms)
0	19	7e-06
1	31	3e-06
2	109	0.004239
3	199	0.010673
4	409	0.011781
5	571	0.02104
6	631	0.022839
7	829	0.019516
8	1489	0.03128
9	1999	0.047536
10	2341	0.05953
11	2971	0.061903
12	3529	0.06192
13	4621	0.090158
14	4789	0.094484
15	7039	0.106398
16	7669	0.105344
17	8779	0.148411
18	9721	0.157194
19	10459	0.152579
20	10711	0.133347
21	13681	0.138344
22	14851	0.151522
23	16069	0.137962
24	16381	0.162671
25	17659	0.198068
26	20011	0.189649
27	20359	0.177201
28	23251	0.198829
29	25939	0.190698
30	27541	0.196431
31	29191	0.187293
32	29611	0.20191
33	31321	0.195857
34	34429	0.309587
35	36739	0.286377
36	40099	0.293875
37	40591	0.299053
38	42589	0.299418
39	53471161	4.34
