#This is the datafile for gnuplot running aksLnPserial
#Iteration 	 Number 	 Execution time (ms)
0	19	0.006
1	31	0.003
2	109	4.457
3	199	9.708
4	409	11.539
5	571	21.437
6	631	22.02
7	829	19.224
8	1489	32.519
9	1999	55.176
10	2341	65.613
11	2971	66.654
12	3529	66.388
13	4621	95.446
14	4789	102.551
15	7039	108.517
16	7669	107.936
17	8779	152.388
18	9721	161.793
19	10459	157.551
20	10711	137.626
21	13681	141.893
22	14851	156.563
23	16069	142.56
24	16381	167.846
25	17659	206.022
26	20011	194.445
27	20359	181.162
28	23251	199.179
29	25939	190.84
30	27541	192.958
31	29191	188.642
32	29611	203.127
33	31321	203.247
34	34429	316.356
35	36739	298.76
36	40099	301.141
37	40591	305.444
38	42589	312.707
39	53471161	4435.87
